Soil_pH,N,P,K,Temperature,Rainfall,Crop,Recommended_Fertilizer
5.03,159,74,76,36.95,592.53,0,Compost
5.08,94,45,75,23.41,1594.17,4,Compost
4.8,135,85,42,20.41,2637.45,2,Compost
4.95,104,78,57,36.97,2815.35,4,Compost
5.53,115,72,97,26.71,2830.81,1,NPK
5.04,68,70,64,11.63,394.83,6,Compost
5.54,132,46,111,25.6,2746.11,3,Compost
6.94,115,52,40,39.51,1225.21,5,NPK
5.01,78,84,102,38.27,862.35,2,Compost
4.76,128,66,107,26.43,2325.69,6,Compost
6.41,97,89,57,36.35,1762.35,6,NPK
5.92,126,43,57,18.59,2377.08,6,NPK
7.36,143,53,105,31,1192.89,6,NPK
5.76,83,45,79,25.91,1917.95,5,NPK
6.89,81,79,65,22.02,2226.95,0,NPK
4.81,131,81,98,20.49,1261.74,3,Compost
7.79,125,56,51,19.05,2327.49,6,Compost
5.47,105,49,97,16.48,2113.62,5,Compost
5.27,119,65,49,15.4,1720.96,0,Compost
7.54,93,65,97,11.17,1642.05,4,NPK
6.25,139,67,113,11.25,1840.81,0,NPK
5.25,134,61,60,36.76,228.53,5,Compost
4.73,143,55,58,33.35,679.01,1,Compost
4.57,104,53,55,32.23,1629.94,0,Compost
6.89,120,54,93,32.5,1242.31,0,NPK
7.47,144,66,59,18,1552.34,1,NPK
5.32,69,75,50,38.46,1404.83,5,Compost
5,67,86,113,13.75,652.08,6,Compost
7.63,98,53,99,39.73,1780.5,2,Compost
7.31,99,68,65,20.68,775.11,0,NPK
4.63,152,45,59,39.93,217.26,1,Compost
6.48,60,87,98,29.66,1753.46,5,Compost
5.35,82,40,104,39.58,1837.32,2,Compost
5.08,105,67,70,27.6,2535.83,1,Compost
6.5,159,45,71,33.66,2672.53,2,NPK
7.13,148,57,104,32.36,2022.4,0,NPK
5.25,83,42,70,31.16,2727.46,4,Compost
4.87,99,61,81,13.72,2863.68,0,Compost
5.08,131,49,66,14.33,542.94,0,Compost
7.21,105,77,62,18.37,982.74,3,Compost
7.01,145,81,46,38.06,1405.81,1,NPK
7.2,62,54,67,14.29,2396.2,6,NPK
7.25,74,81,104,11.11,608.02,4,NPK
5.47,135,66,80,29.02,855.38,1,Compost
7.62,150,53,113,25.39,1676.57,5,NPK
5.57,155,49,81,14.4,2625.16,4,NPK
7.38,84,44,86,38.89,2666.98,0,NPK
7.01,111,51,87,19.88,231.21,1,NPK
5.08,152,47,58,30.3,247.6,1,Compost
5.44,106,66,76,31.36,2066.96,4,Compost
6.88,111,82,112,27.44,2568.4,3,Compost
5.56,135,85,64,20.64,691.77,2,NPK
7.76,148,50,110,22.3,2028.46,0,Compost
4.78,89,64,118,29.5,1227.51,4,Compost
4.98,105,79,61,13.5,1626.79,4,Compost
6.28,91,65,41,16.34,2555.97,4,NPK
5.2,103,87,102,35.73,332.67,5,Compost
6.88,83,89,49,22.27,1977.26,3,NPK
4.87,134,41,53,37.08,2607.29,4,Compost
4.57,63,89,80,10.18,641.89,4,Compost
5.45,85,58,57,19.02,1632.26,2,Compost
5.15,74,68,70,18.48,829.93,6,Compost
6.13,129,48,99,16.31,790.55,4,Compost
4.53,85,68,83,35.13,2594.33,5,Compost
4.58,109,40,103,12.47,1568.13,5,Compost
6.85,156,58,56,20.33,1727.54,2,Compost
6.32,159,69,76,10.24,1344.21,2,NPK
5.45,81,40,92,28.95,1578.17,4,Compost
6.76,99,63,96,15.53,914.21,6,NPK
5.02,129,89,55,15.58,2032.63,4,Compost
7.34,130,52,66,32.71,2788.09,4,NPK
7.17,113,64,108,11.1,1859.55,0,NPK
4.94,67,73,109,30.51,1102.32,3,Compost
5.48,81,59,42,36.06,2692.46,2,Compost
7.61,80,44,106,16.54,1361.03,4,NPK
4.81,147,71,99,20.55,1574.18,0,Compost
5.49,86,43,95,20.58,678.63,2,Compost
7.24,139,81,50,37.71,387.46,1,NPK
5.35,152,52,86,38.73,1297.01,1,Compost
5.46,122,61,87,39.87,1248.21,4,Compost
5.63,159,83,114,24.19,552.06,4,NPK
5.44,155,47,80,26.58,1425.26,3,Compost
4.53,101,82,59,34.69,1746.15,3,Compost
5.09,152,53,43,26.12,2041.66,4,Compost
7.66,132,86,72,27.96,1348.97,1,NPK
4.68,127,80,110,16.35,1956.9,1,Compost
7.67,134,56,88,24.33,2223.39,0,NPK
7.72,86,42,40,24.46,1343.64,4,Compost
4.7,108,53,119,16.58,1642.02,0,Compost
5.1,154,46,62,15.87,1436.73,3,Compost
7.08,88,46,55,25.83,957.85,4,NPK
4.56,113,71,118,24.09,1152.51,3,Compost
4.55,113,66,85,28.73,935.45,5,Compost
6.57,88,41,45,11.32,855.59,6,NPK
7.51,92,79,83,19.58,2650.88,4,Compost
4.9,130,83,44,16.94,2631.43,5,Compost
5.43,114,85,109,24.23,408.3,1,Compost
5.44,64,64,54,13.6,883.6,4,Compost
4.92,64,41,77,39.65,2405.79,6,Compost
6.46,62,83,47,31.02,1091.08,3,NPK
6.11,130,57,92,21.73,1582.89,3,Compost
5.46,159,41,44,11.02,2245.73,0,Compost
5.72,139,45,103,36.73,2312.82,3,NPK
5.18,94,41,69,21.43,2055.63,5,Compost
6.01,142,40,70,11.47,1769.76,6,NPK
5.53,151,84,113,24.29,1631.72,4,NPK
4.58,148,65,94,17.34,2284.03,2,Compost
6.75,147,44,78,22.98,2498.87,1,NPK
4.71,68,46,75,10.16,200.36,5,Compost
7.39,95,69,67,38.2,364.42,0,NPK
5.78,132,60,80,24.34,300.13,0,Compost
6.47,74,73,88,26.2,394.79,0,NPK
7.19,85,61,118,23.31,1082.71,0,NPK
4.52,66,43,64,17.15,1805.37,6,Compost
7.71,102,84,113,27.59,396.14,4,NPK
5.11,61,62,105,33.36,486.16,0,Compost
4.81,158,64,71,22.57,290.59,5,Compost
6.14,124,48,96,34.87,2406.79,5,NPK
6.82,112,61,84,12.65,963.56,2,Compost
4.7,156,47,64,18.25,2882.57,1,Compost
5.25,138,51,84,22.41,1685.67,3,Compost
7.47,120,65,61,20.99,353.37,2,NPK
5.04,143,49,48,37.02,1725.7,4,Compost
5.12,113,74,69,28.29,2532.38,2,Compost
5.5,97,77,81,15.8,2261.67,2,NPK
4.71,71,44,106,29.31,2431.14,1,Compost
6.75,87,47,71,38.83,2377.08,2,NPK
5.18,120,41,82,11.12,1832.88,0,Compost
5.04,156,41,102,22.53,1994.57,2,Compost
7.29,146,79,118,14.11,1025.49,6,NPK
5.12,95,42,100,39.34,2881.17,6,Compost
5.47,137,84,62,10.47,1030,5,Compost
4.79,101,57,84,17.69,1238.24,6,Compost
6.11,73,41,63,34.44,2172.02,3,NPK
4.7,68,77,88,25.96,1936.54,5,Compost
4.99,155,83,53,35.69,436.86,0,Compost
5.99,146,56,48,25.8,637.48,4,NPK
7.69,138,67,64,15.44,1619.22,5,NPK
5.97,151,73,74,18.26,1782.03,3,NPK
4.99,120,57,85,28.31,2386.63,1,Compost
7.62,117,70,93,28.61,2097.68,4,NPK
6.72,108,52,104,35.38,1151.49,4,NPK
6.01,119,57,117,35.23,504.04,0,NPK
5.17,116,84,44,31.81,626.63,6,Compost
7.38,66,50,49,29.83,1348.21,3,NPK
5.36,132,83,98,32.4,697.64,3,Compost
4.98,159,46,96,35.08,711.9,3,Compost
5.28,126,52,51,19.88,2221.79,2,Compost
5.07,117,61,106,13.82,2391.43,3,Compost
6.06,101,83,115,34.36,2067.13,0,NPK
5.9,122,56,112,26.98,2748.92,0,Compost
7.63,80,42,47,12.42,2815.4,2,NPK
7.61,158,40,113,13.79,499.57,2,NPK
6.13,87,44,68,34.92,1799.14,1,NPK
5.26,150,53,57,13.28,2263.59,4,Compost
6.34,147,85,48,39.51,2821.82,1,NPK
5.59,157,43,110,18.56,1356.72,4,NPK
6.33,70,65,45,22.53,840.06,6,NPK
4.76,62,43,99,32.05,1261.88,3,Compost
5.46,99,62,84,22.16,501.81,5,Compost
4.66,80,44,64,33.42,795.24,3,Compost
7.47,68,41,91,32.95,2677.66,4,NPK
4.61,153,79,45,35.14,1562.3,0,Compost
6.49,157,82,101,24.86,645.96,0,NPK
4.74,153,50,115,35.54,2638.42,6,Compost
6.2,93,66,47,38.69,1072.46,0,NPK
6.04,77,55,87,28.01,1293.3,1,NPK
6.36,119,65,92,32.23,280.34,2,Compost
7.6,148,73,86,11.74,2167.42,3,NPK
4.63,134,79,107,13.6,1745.73,5,Compost
6.88,143,82,103,32.54,1026.21,5,Compost
6.44,70,78,55,34.88,1901.7,2,NPK
4.72,150,56,103,23.82,1757.14,5,Compost
6.99,149,78,51,14.77,552.19,6,NPK
5.28,111,85,62,31.96,1018.49,0,Compost
7.73,119,75,78,38.68,1402.73,6,NPK
7.59,158,49,92,11.98,1652.69,1,NPK
4.71,134,83,82,26.97,2288.98,4,Compost
6.72,69,58,77,14.56,2989.79,2,NPK
4.84,82,56,78,39.39,2509.61,3,Compost
6.74,74,53,95,15.11,1964.33,1,NPK
6.59,125,42,53,23.44,2851.3,3,Compost
5.97,131,46,117,35.24,2799.37,4,NPK
4.71,159,58,115,14.94,1930.75,3,Compost
5.24,121,87,118,29.88,967.01,4,Compost
5.12,124,41,86,20.96,631.25,3,Compost
5.92,62,58,60,28.82,2475.6,1,NPK
4.52,136,51,90,35.37,2999.43,2,Compost
4.81,153,62,114,24.69,736.92,2,Compost
4.81,143,48,50,27.47,753.77,4,Compost
6.14,140,70,98,24.04,286.55,2,NPK
6.04,84,40,71,19.78,824.43,0,Compost
5.73,88,65,63,27.76,853.33,6,NPK
7.41,94,79,81,32.2,377.43,6,NPK
5.3,101,54,107,32.48,2189.6,5,Compost
6.66,140,40,75,15.67,2662.28,3,NPK
7.77,152,47,83,39.31,2695.89,0,NPK
6.3,151,58,66,32.46,1688.75,1,NPK
4.86,114,61,92,34.43,862.68,6,Compost
7.49,87,48,57,39.56,2545.46,0,NPK
5.83,63,53,13,34.89,1627.98,4,MOP
5.11,129,47,109,39.49,496.75,4,Compost
5.02,109,89,78,23.71,2326.19,0,Compost
7.04,151,45,94,22.54,1281.47,3,NPK
6.72,72,79,58,23.68,961.92,5,Compost
5.43,98,75,118,35.23,800.82,2,Compost
5.74,89,59,67,27.14,840.65,5,MOP
7.28,109,73,115,10.75,1702.7,0,Compost
4.56,139,56,102,33.93,1120.97,6,Compost
4.79,106,58,80,15.02,2005.49,2,Compost
7.21,159,46,24,21.83,2195.99,0,MOP
7.15,109,67,29,22.18,776.68,1,MOP
7.74,149,48,18,31.57,2962.83,4,MOP
6.02,147,55,94,38.35,2783.56,5,Compost
6.34,136,80,111,37.91,2402.22,6,NPK
6.68,88,43,107,12.71,2219.55,6,NPK
4.89,125,56,76,11.89,1010.61,4,Compost
5.43,126,78,54,16.42,1725.92,2,Compost
7.79,105,72,60,25.71,2876.69,5,NPK
6.16,97,69,75,23.91,1479.61,2,NPK
4.86,148,56,115,32.02,1323.91,2,Compost
7.59,95,83,109,19.74,1606.51,1,NPK
5.85,107,57,78,17.01,1999.38,6,NPK
6.34,136,72,111,25.94,2479.47,5,NPK
5.88,94,49,46,29.7,1759.33,2,Compost
5.45,150,44,106,29.25,1371.44,6,Compost
4.8,114,54,37,35.02,1466.95,4,MOP
6.13,136,46,74,19.92,1302.26,0,NPK
4.51,143,81,100,39.77,2862.66,4,Compost
5.62,157,54,35,20.8,998.41,5,MOP
5.14,69,86,59,27.11,690.28,6,Compost
5.43,88,44,44,21.36,2672.13,4,Compost
5.16,86,70,119,21.88,285.25,3,Compost
5.65,98,88,19,12.95,1310.36,3,MOP
7.45,151,87,14,30.17,2938.35,3,MOP
4.72,74,56,30,21.14,385.39,1,MOP
6.43,120,61,38,14.86,2651.3,6,MOP
5.75,151,70,30,23.79,2031.85,4,MOP
4.94,101,85,80,39.5,2041.99,3,Compost
5.38,135,63,16,26.29,1481.07,3,MOP
6.36,144,41,37,16.54,2518.02,1,MOP
6.23,71,74,60,13.11,225.48,3,NPK
6.21,104,85,19,30.77,1867.96,2,MOP
5.83,99,89,47,25.51,296.11,1,NPK
4.71,106,42,107,37.94,2889.02,1,Compost
5.02,104,63,56,13.89,380.69,3,Compost
7.94,102,44,11,31.74,2754.71,1,MOP
5.36,60,61,20,36.1,335.54,0,MOP
5.29,60,84,23,37.65,2507.72,1,MOP
5.35,94,59,100,16.68,346.9,4,Compost
6.55,113,41,68,31.18,2040.93,5,NPK
8.17,115,57,27,15.26,379.96,6,MOP
5.97,75,44,33,28.13,845.43,2,MOP
5.14,77,74,44,27.83,2752.36,3,Compost
8.16,154,67,31,37.63,602.46,2,MOP
6.9,124,72,13,35.2,2669.47,0,MOP
4.79,140,75,118,39.37,847.42,6,Compost
5.41,83,44,75,32.66,1686.35,6,Compost
4.58,78,59,32,31.65,1020.26,5,MOP
5.6,83,46,62,30.62,2551.14,2,Compost
7.04,79,65,118,24.67,693.27,5,NPK
4.79,124,72,92,33.46,860.65,2,Compost
4.81,65,48,49,22.57,2074.65,6,Compost
6.63,151,81,60,18.62,712.28,3,Compost
6.81,125,87,22,11.59,1523.78,2,MOP
4.83,98,69,19,21.45,1511.96,3,MOP
5.32,92,46,25,38.52,1217.2,3,MOP
5.79,107,60,38,34.8,1208.34,1,MOP
5.93,90,54,15,18.68,815.51,1,MOP
6.47,93,66,23,26.43,1909.26,0,MOP
7.07,108,59,24,12.97,2931.69,2,MOP
5.3,145,49,35,21.84,1456.43,3,MOP
5.36,96,57,114,24.34,1645.81,6,Compost
6.96,112,66,45,11.66,1172.36,2,NPK
4.69,108,61,72,39.91,2661.73,0,Compost
6.11,69,66,89,16.2,1852.84,4,NPK
7.1,113,48,57,28.11,1929.49,6,MOP
5.78,70,40,42,25.14,1887.29,5,NPK
4.87,95,89,88,39.47,2973.49,0,Compost
6.4,96,69,39,36.13,2022.21,6,MOP
6.49,130,67,117,12.6,1520.94,5,MOP
7.19,135,68,21,22.35,2191.31,4,MOP
7.55,81,58,60,30.66,1110.65,6,Compost
5.05,92,70,57,36.04,1541.5,1,Compost
5.41,70,49,48,11.72,599.8,0,Compost
7.31,123,69,113,29.78,1351.61,1,NPK
6.1,157,73,25,19.8,654.43,0,MOP
5.69,72,73,48,20.97,1781.25,5,NPK
5.01,156,81,102,10.06,2307.06,6,Compost
7.14,78,68,35,26.05,418.78,5,MOP
6.38,158,43,103,14.59,2111.58,6,NPK
5.3,76,65,42,32.36,681.5,4,Compost
6.91,129,85,116,15.67,2456.89,6,MOP
6.69,98,45,86,26.54,1168.86,2,Compost
7.58,117,55,118,11.78,671.02,6,MOP
4.66,65,61,50,32.97,2485.55,0,Compost
5.28,114,71,20,15.45,1543.55,2,MOP
5.71,61,70,87,28.12,2947.64,1,MOP
5.46,123,89,70,21.22,1191.36,2,Compost
5.46,90,83,16,16.02,206.59,1,MOP
6.82,111,45,18,36,2996.53,4,MOP
5.88,71,85,112,13.84,2208.93,4,NPK
7.57,137,53,19,18.36,729.69,4,MOP
6.01,156,50,97,10.77,1711.15,4,Compost
4.81,60,50,82,14.66,1482.29,5,Compost
5.93,127,53,80,17.43,2567.78,6,MOP
7.77,130,69,17,37.09,1367.22,4,MOP
6.85,65,74,63,35.66,2405.95,3,NPK
5.56,66,51,85,23.21,1772.83,6,NPK
6.08,82,87,85,36.1,415.29,3,NPK
7.08,71,74,119,18.7,1849.7,4,NPK
5.1,92,47,50,10.05,2531.72,5,Compost
6.61,121,71,113,34.64,796.89,4,NPK
6.46,130,40,36,32.01,1468.67,6,MOP
5.49,71,67,19,31.48,2636.09,1,MOP
4.64,124,40,18,21.36,1582.67,6,MOP
5.23,77,73,70,29.68,1386.72,6,Compost
7.45,106,83,82,35.26,1913.41,4,NPK
7.56,97,56,89,16.16,1395.01,3,NPK
7.09,124,86,35,30.79,372.72,0,MOP
4.84,87,83,87,15.57,1533.4,2,Compost
4.86,90,60,78,25,698.12,4,Compost
7.26,134,84,98,11.16,2152.41,4,NPK
5.45,137,87,79,18.59,2876.28,5,Compost
4.54,116,69,69,11.81,1712.38,1,Compost
5.31,81,50,51,36.51,2012.74,0,Compost
6.13,110,84,98,11.72,2728.28,3,MOP
5.27,149,63,75,34.35,731.26,1,Compost
8.13,150,52,16,17.56,393.66,1,MOP
7.27,148,62,10,10.52,2730.46,5,MOP
7.19,109,47,25,20.94,2288.97,1,MOP
5.03,148,74,91,19.63,1462.33,2,Compost
7.6,142,82,32,25.64,2006.24,4,MOP
5.56,156,74,39,33.03,1173.07,6,MOP
7.52,93,69,97,39.66,1554.51,0,MOP
6.97,98,43,20,23.95,2509.17,0,MOP
7.58,150,59,29,26.41,1564.77,3,MOP
4.92,60,64,53,39.82,1470.5,0,Compost
7.42,129,77,22,34.76,1939.72,6,MOP
7.3,87,88,88,36.48,2070.49,4,NPK
4.71,60,62,66,20.42,2808.5,1,Compost
6.33,95,81,31,39.49,917.17,1,MOP
5.55,118,76,19,15.34,1551.65,5,MOP
6.01,153,54,109,18.16,1716.5,5,NPK
6.4,114,82,20,30.59,875.79,0,MOP
7.58,119,56,74,11.4,2824.33,5,NPK
6.74,73,79,54,16.39,2244.96,1,NPK
6.52,139,46,111,25.18,1208.49,5,NPK
5.21,78,80,40,11.79,2479.41,1,Compost
6.67,99,62,97,22.69,1232.69,2,NPK
8.23,96,87,19,25.79,2251.5,3,MOP
4.95,130,57,117,39.51,1014.8,5,Compost
6.13,156,50,88,23.76,1068.16,2,MOP
5.09,151,89,10,17.41,382.98,6,MOP
6.95,134,45,29,16.2,2037.49,5,MOP
7.36,79,58,43,12.98,720.59,0,MOP
8.28,159,68,11,38.23,2248.78,6,MOP
5.03,148,81,63,19.36,565.25,2,Compost
6.19,129,71,51,37.94,1946.98,1,Compost
6.39,124,49,33,30.33,955.38,5,MOP
7.98,109,82,19,27.71,620.67,6,MOP
6.24,119,47,59,26.17,213.74,2,NPK
4.98,110,62,63,38.34,2186.77,2,Compost
5.15,64,69,104,33.19,2019.36,3,Compost
8.16,113,75,29,34.41,2180.33,2,MOP
4.68,126,42,10,37.18,2146.3,1,MOP
7.38,102,57,65,27.81,1275.65,4,NPK
6.28,128,48,36,37.94,2304.3,5,MOP
7.18,83,68,93,20.85,569.14,4,Compost
4.5,141,86,48,39.62,2850.49,1,Compost
4.82,135,72,12,20.13,1301.12,0,MOP
5.27,158,63,68,36.89,1158.77,4,Compost
6.44,127,54,56,31.75,268.63,6,NPK
5.78,123,50,29,10.68,2270.52,6,MOP
5.71,75,60,72,24.12,2938,3,NPK
6.92,121,78,93,19.7,315.67,1,MOP
4.71,101,74,29,19.7,1774.89,5,MOP
5.06,60,53,85,38.7,1079.81,2,Compost
6.68,102,46,72,13.45,438.94,4,NPK
6.45,129,64,113,18.9,2277.07,5,NPK
7.66,60,63,85,25.18,2373.44,2,NPK
4.62,115,49,116,23.96,1153.48,6,Compost
8.37,113,40,35,29.02,1256.99,1,MOP
4.77,135,44,38,23.62,1406.38,4,MOP
8.3,138,84,30,22.78,2819.93,3,MOP
5.48,126,61,13,15.51,1270.17,0,MOP
6.43,86,64,52,34.05,1810.67,2,Compost
4.77,149,63,92,18.09,1598.86,3,Compost
5.28,105,43,35,10.31,1749.76,5,MOP
5.26,101,73,32,36.19,2681.99,2,MOP
4.7,159,41,93,18.84,339.48,2,Compost
7.12,107,89,97,13.73,903.37,1,NPK
6.09,146,47,22,27.05,1108.66,2,MOP
6.46,124,63,75,37.06,2862.51,5,NPK
6.55,97,54,90,34.58,356.92,0,Compost
5.57,88,45,67,26.12,2959.16,0,NPK
6.32,126,58,100,39.74,684.13,3,NPK
4.67,156,71,87,15.06,2368.89,1,Compost
6.49,86,68,36,27.75,2057.08,1,MOP
5.17,91,86,68,21.58,2748.02,5,Compost
5.29,155,66,88,28.62,2893.34,5,Compost
8,128,51,36,21.65,205.93,3,MOP
7.32,153,82,68,22.56,2409.01,0,NPK
6.42,158,66,43,11.28,1753.17,2,NPK
6.92,120,78,47,23.47,2713.48,2,MOP
6.11,143,63,34,29.35,2166.59,0,MOP
4.86,101,77,67,24.29,2548.19,4,Compost
6.22,127,76,54,36.27,2266.11,5,NPK
5.2,86,53,31,25.26,1159.32,5,MOP
5.8,155,52,106,32.11,267.91,3,NPK
8.4,61,55,19,13.38,2159.34,5,MOP
5.65,97,43,27,13.63,712.91,4,MOP
6.2,98,77,64,14.64,1533.98,1,NPK
5.61,157,82,35,32.08,1119.6,1,MOP
4.76,60,61,47,25.95,2945.29,6,Compost
7.26,140,86,12,32.58,967.67,1,MOP
6.79,112,77,83,33.8,2511.58,2,NPK
5.37,70,55,90,20.91,1910.32,2,Compost
5.74,144,85,46,18.47,2494.99,2,NPK
6.34,75,59,20,30.94,1195.91,3,MOP
5.62,75,57,28,38.53,2581.38,3,MOP
7.06,141,50,65,16.61,1993.33,0,Compost
5.04,158,86,118,29.41,967.9,2,Compost
5.52,82,84,117,35.38,650.52,1,MOP
6.65,62,63,90,31.05,1315.98,1,NPK
6.93,117,87,49,29.76,1190.55,1,NPK
6.12,65,86,20,31.39,1692.6,6,MOP
5.4,122,65,22,18.44,1555.38,3,MOP
5.53,61,43,90,24.61,1998.94,6,NPK
6.03,143,47,25,25.52,2883.27,3,MOP
5.84,122,74,112,11.89,2395.88,3,NPK
6.55,154,41,11,25.72,809.34,4,MOP
6.09,100,63,86,34.54,1074.8,6,NPK
7.17,88,71,110,35.41,973.6,1,MOP
4.94,138,46,28,17.94,253.1,0,MOP
5.85,154,81,28,32.81,2032.2,1,MOP
6.78,154,46,42,13.54,2276.87,1,NPK
4.81,90,68,70,16.31,2829.89,6,Compost
5.35,144,61,71,15.56,2877.93,2,Compost
5,150,42,12,13.57,2269.19,4,MOP
5.02,94,66,15,26.49,202.46,1,MOP
8.48,137,50,18,13.73,2695.91,0,MOP
4.59,131,42,76,33.47,1107.38,4,Compost
5.92,84,45,105,29.69,2968.52,0,Compost
6.84,112,89,12,23.72,1049.43,4,MOP
5.54,121,80,17,14.11,494.45,5,MOP
4.84,60,42,71,15.57,800.02,3,Compost
4.98,142,84,73,12.43,2074.33,1,Compost
6.5,101,64,26,30.32,1164.1,6,MOP
7.31,109,82,52,32.52,2005.35,6,NPK
5.17,132,68,103,23.92,2073.62,6,Compost
7.15,117,67,38,26.08,442.84,0,MOP
6.3,104,85,70,14.93,2606.73,1,Compost
7.38,85,52,14,32.57,1127.21,4,MOP
4.65,87,66,45,15.31,2411.57,3,Compost
6.67,106,57,50,27.44,1860.59,6,Compost
5.09,81,45,19,22.41,866.62,5,MOP
5.17,141,49,112,10.05,966.1,0,Compost
6.82,154,75,23,20.3,245.86,6,MOP
7.36,114,74,85,37.88,1387.41,4,NPK
7.32,142,62,30,22.04,1586.93,3,MOP
6.17,75,66,18,35.33,2928.4,0,MOP
4.8,129,58,29,31.61,2450.4,4,MOP
7.4,126,80,10,21.09,964.61,5,MOP
5.21,79,50,106,16.37,2508.27,3,Compost
8.12,102,70,14,26.26,612.46,6,MOP
7.18,133,55,78,21.96,594.86,0,NPK
5.25,100,67,116,23,830.56,4,Compost
5.85,96,62,69,28.18,1594.3,6,NPK
5.75,130,40,28,21.9,2332.7,3,MOP
5.22,158,41,85,32.31,584.46,4,Compost
6.09,69,46,17,11.89,1465.55,2,MOP
7.48,114,61,20,22.55,906.33,1,MOP
8.06,121,81,36,17.49,1799.61,3,MOP
8.1,77,55,23,15.98,1779.25,3,MOP
5.83,135,89,36,25.83,2975.33,5,MOP
5.16,113,87,100,25.54,2730.34,6,Compost
5.3,147,73,76,38.22,1806.29,6,Compost
6.87,119,85,88,26.94,1102.01,5,MOP
4.79,64,60,44,25.82,906.36,6,Compost
7.75,130,40,22,30.67,1525.27,6,MOP
7.51,69,67,65,33.57,2380.5,5,NPK
7.51,139,45,78,29.02,1948.56,5,NPK
7.18,135,44,90,33.32,637.35,3,NPK
7.61,95,83,21,23.39,691.44,1,MOP
7.58,74,70,15,32.73,2259.94,1,MOP
